Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-512.000	58.000	
0.033	-509.000	67.000	
0.066	-502.000	78.000	
0.100	-492.000	89.000	
0.133	-479.000	105.000	
0.166	-464.000	123.000	
0.200	-446.000	144.000	
0.233	-430.000	171.000	
0.266	-412.000	185.000	
0.300	-378.000	227.000	
0.333	-353.000	261.000	
0.366	-334.000	289.000	
0.400	-282.000	334.000	
0.433	-236.000	346.000	
0.466	-206.000	325.000	
0.500	-194.000	291.000	
0.533	-194.000	264.000	
0.566	-208.000	245.000	
0.600	-228.000	231.000	
0.633	-251.000	229.000	
0.666	-272.000	230.000	
0.700	-293.000	240.000	
0.733	-309.000	266.000	
0.766	-313.000	297.000	
0.800	-299.000	330.000	
0.833	-265.000	351.000	
0.866	-229.000	356.000	
0.900	-189.000	363.000	
0.933	-150.000	365.000	
