Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-500.000	83.000	
0.033	-494.000	90.000	
0.067	-485.000	100.000	
0.100	-471.000	112.000	
0.133	-461.000	127.000	
0.167	-446.000	143.000	
0.200	-429.000	158.000	
0.233	-406.000	183.000	
0.267	-382.000	214.000	
0.300	-356.000	241.000	
0.333	-330.000	271.000	
0.367	-300.000	304.000	
0.400	-262.000	337.000	
0.433	-211.000	351.000	
0.467	-184.000	333.000	
0.500	-164.000	302.000	
0.533	-162.000	274.000	
0.567	-174.000	254.000	
0.600	-185.000	235.000	
0.633	-201.000	230.000	
0.667	-216.000	226.000	
0.700	-233.000	230.000	
0.733	-249.000	235.000	
0.767	-264.000	246.000	
0.800	-282.000	265.000	
0.833	-289.000	292.000	
0.867	-281.000	323.000	
0.900	-258.000	346.000	
0.933	-220.000	355.000	
0.967	-186.000	356.000	
1.000	-150.000	358.000	
