Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-496.000	90.000	
0.033	-493.000	95.000	
0.067	-485.000	103.000	
0.100	-476.000	115.000	
0.133	-463.000	126.000	
0.167	-449.000	140.000	
0.200	-432.000	157.000	
0.233	-414.000	175.000	
0.267	-400.000	188.000	
0.300	-370.000	222.000	
0.333	-341.000	249.000	
0.367	-313.000	279.000	
0.400	-271.000	314.000	
0.433	-240.000	338.000	
0.467	-198.000	342.000	
0.500	-168.000	326.000	
0.533	-156.000	290.000	
0.567	-158.000	266.000	
0.600	-171.000	247.000	
0.633	-182.000	232.000	
0.667	-201.000	227.000	
0.700	-219.000	225.000	
0.733	-235.000	230.000	
0.767	-256.000	238.000	
0.800	-269.000	255.000	
0.833	-278.000	281.000	
0.867	-272.000	314.000	
0.900	-250.000	340.000	
0.933	-214.000	351.000	
0.967	-182.000	352.000	
1.000	-144.000	352.000	
