Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-496.000	91.000	
0.034	-490.000	98.000	
0.067	-482.000	107.000	
0.100	-471.000	118.000	
0.134	-458.000	131.000	
0.167	-443.000	146.000	
0.200	-426.000	163.000	
0.234	-406.000	180.000	
0.267	-382.000	205.000	
0.300	-355.000	232.000	
0.334	-329.000	260.000	
0.367	-304.000	286.000	
0.400	-259.000	326.000	
0.434	-218.000	343.000	
0.467	-182.000	335.000	
0.500	-161.000	307.000	
0.534	-155.000	280.000	
0.567	-162.000	256.000	
0.600	-173.000	241.000	
0.634	-190.000	231.000	
0.667	-207.000	226.000	
0.700	-225.000	227.000	
0.734	-244.000	233.000	
0.767	-259.000	244.000	
0.800	-275.000	265.000	
0.834	-276.000	297.000	
0.867	-263.000	329.000	
0.900	-234.000	348.000	
