Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	225.822	109.318	
0.033	225.822	109.318	
0.067	227.807	107.303	
0.100	229.792	105.288	
0.133	231.785	104.273	
0.167	233.777	103.258	
0.200	235.747	99.244	
0.233	238.732	97.221	
0.267	241.717	95.199	
0.300	244.687	91.177	
0.333	247.672	89.154	
0.367	250.642	85.132	
0.400	253.612	81.110	
0.433	257.575	76.080	
0.467	259.538	71.065	
0.500	263.500	66.035	
0.533	266.463	61.013	
0.567	269.410	53.991	
0.600	271.358	46.976	
0.633	275.313	40.947	
0.667	277.253	32.932	
0.700	279.194	24.917	
0.733	280.134	16.910	
0.767	281.074	8.903	
0.800	282.000	-1.104	
0.833	281.932	-10.104	
0.867	280.865	-19.096	
0.900	279.791	-29.088	
0.933	276.716	-39.066	
0.967	274.642	-49.050	
1.000	270.560	-60.020	
1.033	265.485	-69.983	
1.067	260.411	-79.945	
1.100	252.344	-88.885	
1.133	245.269	-98.833	
1.167	236.202	-107.765	
1.200	227.143	-115.698	
1.233	215.091	-122.608	
1.267	204.032	-130.526	
1.300	190.995	-135.429	
1.333	177.965	-139.331	
1.367	163.936	-143.227	
1.400	147.929	-144.107	
1.433	132.922	-144.995	
1.467	117.937	-142.884	
1.500	101.960	-139.764	
1.533	86.998	-134.652	
1.567	72.050	-127.541	
1.600	57.118	-118.429	
1.633	43.208	-106.325	
1.667	31.298	-94.236	
1.700	21.417	-78.162	
1.733	11.537	-62.087	
1.767	5.664	-45.043	
1.800	0.806	-26.006	
1.833	-0.044	-5.999	
1.867	0.097	13.000	
1.900	4.246	32.969	
1.933	10.388	51.924	
1.967	19.522	69.856	
2.000	31.656	87.766	
2.033	46.760	101.654	
2.067	62.864	115.534	
2.100	82.938	125.385	
2.133	102.997	133.235	
2.167	124.026	137.078	
2.200	146.033	137.914	
2.233	167.010	134.757	
2.267	187.972	129.601	
2.300	208.905	120.444	
2.333	226.815	108.310	
2.367	242.702	93.191	
2.400	257.575	76.080	
2.433	268.433	56.998	
2.467	276.268	34.939	
2.500	281.104	12.903	
2.533	281.932	-10.104	
2.567	278.761	-33.081	
2.600	272.597	-55.035	
2.633	261.433	-76.953	
2.667	246.284	-96.840	
2.700	229.165	-112.713	
2.733	209.061	-126.563	
2.767	184.980	-137.384	
2.800	159.936	-143.197	
2.833	132.922	-144.995	
2.867	105.952	-140.794	
2.900	80.020	-131.600	
2.933	56.133	-116.422	
2.967	35.268	-98.265	
3.000	17.447	-74.132	
3.033	5.649	-47.043	
3.067	-0.119	-15.999	
3.100	0.104	14.000	
3.133	6.328	43.954	
3.167	20.537	71.849	
3.200	38.715	95.714	
3.233	63.864	115.527	
3.267	90.968	129.325	
3.300	121.019	136.101	
3.333	152.033	137.869	
3.367	181.987	131.646	
3.400	209.897	119.437	
3.433	233.770	102.258	
3.467	254.597	79.102	
3.500	269.410	53.991	
3.533	279.194	24.917	
3.567	280.962	-6.096	
3.600	277.739	-36.073	
3.633	267.522	-64.998	
3.667	250.314	-92.870	
3.700	227.150	-114.698	
3.733	199.024	-131.488	
3.767	166.943	-142.249	
3.800	132.929	-143.995	
3.833	98.967	-138.742	
3.867	66.073	-124.496	
3.900	37.253	-100.280	
3.933	15.485	-69.117	
3.967	1.754	-33.014	
4.000	0.045	6.000	
4.033	7.336	44.947	
4.067	26.596	79.804	
4.100	52.804	107.609	
4.133	86.953	127.355	
4.167	125.019	136.071	
4.200	163.018	135.787	
4.233	198.942	125.519	
4.267	229.792	105.288	
4.300	254.597	79.102	
4.333	272.358	46.969	
4.367	281.089	10.903	
4.400	280.821	-25.096	
4.433	269.552	-61.013	
4.467	249.314	-92.863	
4.500	221.121	-118.653	
4.533	186.987	-136.399	
4.567	146.929	-144.100	
4.600	104.952	-140.787	
4.633	66.080	-123.496	
4.667	32.290	-95.243	
4.700	9.589	-55.073	
4.733	-0.082	-10.999	
4.767	5.269	35.962	
4.800	24.574	76.819	
4.833	57.827	110.572	
4.867	98.982	131.265	
4.900	143.033	137.936	
4.933	184.980	130.623	
4.967	222.837	111.340	
5.000	253.612	81.110	
5.033	273.343	44.961	
5.067	281.037	3.903	
5.100	276.724	-38.066	
5.133	261.433	-76.953	
5.167	233.188	-109.743	
5.200	196.009	-133.466	
5.233	150.929	-144.130	
5.267	104.952	-140.787	
5.300	61.103	-120.459	
5.333	25.365	-85.191	
5.367	3.709	-39.028	
5.400	0.082	11.000	
5.433	12.425	56.909	
5.467	40.715	95.699	
5.500	77.923	123.422	
5.533	120.019	136.108	
5.567	162.018	135.795	
5.600	200.927	123.504	
5.633	233.770	102.258	
5.667	258.553	73.073	
5.700	275.298	38.947	
5.733	281.022	1.903	
5.767	278.753	-34.081	
5.800	266.500	-67.990	
5.833	245.269	-98.833	
5.867	217.098	-121.623	
5.900	184.980	-137.384	
5.933	148.929	-144.115	
5.967	111.937	-142.839	
6.000	77.028	-130.578	
6.033	47.185	-109.355	
6.067	22.380	-83.169	
6.100	6.634	-49.050	
6.133	-0.097	-12.999	
6.167	1.172	22.992	
6.200	12.418	55.909	
6.233	30.633	84.774	
6.267	54.804	107.594	
6.300	82.938	125.385	
6.333	113.012	135.160	
6.367	143.033	137.936	
6.400	171.010	134.728	
6.433	197.942	125.526	
6.467	222.837	111.340	
6.500	243.702	93.184	
6.533	259.545	72.065	
6.567	271.366	47.976	
