Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-495.000	98.000	
0.034	-489.000	104.000	
0.067	-480.000	111.000	
0.100	-470.000	122.000	
0.134	-457.000	135.000	
0.167	-445.000	155.000	
0.200	-426.000	171.000	
0.234	-406.000	186.000	
0.267	-382.000	206.000	
0.300	-355.000	232.000	
0.334	-328.000	258.000	
0.367	-302.000	286.000	
0.400	-258.000	322.000	
0.434	-223.000	343.000	
0.467	-183.000	337.000	
0.500	-157.000	312.000	
0.534	-149.000	286.000	
0.567	-154.000	259.000	
0.600	-163.000	242.000	
0.634	-177.000	230.000	
0.667	-193.000	227.000	
0.700	-211.000	226.000	
0.734	-228.000	233.000	
0.767	-246.000	244.000	
0.800	-259.000	257.000	
0.834	-271.000	281.000	
0.867	-267.000	312.000	
0.900	-247.000	339.000	
0.934	-213.000	351.000	
0.967	-178.000	351.000	
1.000	-144.000	351.000	
