Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-497.000	93.000	
0.034	-495.000	98.000	
0.067	-488.000	104.000	
0.100	-480.000	113.000	
0.134	-468.000	123.000	
0.167	-454.000	136.000	
0.200	-438.000	152.000	
0.234	-422.000	170.000	
0.267	-402.000	183.000	
0.300	-430.000	171.000	
0.334	-352.000	236.000	
0.367	-323.000	263.000	
0.400	-299.000	291.000	
0.434	-256.000	328.000	
0.467	-214.000	345.000	
0.500	-176.000	334.000	
0.534	-156.000	307.000	
0.567	-146.000	283.000	
0.600	-153.000	260.000	
0.634	-160.000	253.000	
0.667	-173.000	231.000	
0.700	-198.000	230.000	
0.734	-214.000	226.000	
0.767	-230.000	237.000	
0.800	-249.000	248.000	
0.834	-264.000	260.000	
0.867	-272.000	290.000	
0.900	-263.000	325.000	
0.934	-237.000	348.000	
0.967	-201.000	353.000	
1.000	-167.000	351.000	
