Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-493.000	107.000	
0.033	-487.000	115.000	
0.067	-477.000	123.000	
0.100	-467.000	135.000	
0.133	-451.000	143.000	
0.167	-435.000	158.000	
0.200	-415.000	174.000	
0.233	-402.000	187.000	
0.267	-371.000	217.000	
0.300	-345.000	243.000	
0.333	-316.000	270.000	
0.367	-291.000	297.000	
0.400	-247.000	336.000	
0.433	-197.000	349.000	
0.467	-170.000	338.000	
0.500	-148.000	307.000	
0.533	-146.000	271.000	
0.567	-147.000	259.000	
0.600	-154.000	256.000	
0.633	-170.000	232.000	
0.667	-182.000	229.000	
0.700	-199.000	230.000	
0.733	-212.000	235.000	
0.767	-230.000	242.000	
0.800	-242.000	257.000	
0.833	-257.000	280.000	
0.867	-266.000	308.000	
0.900	-251.000	342.000	
0.933	-230.000	352.000	
0.967	-189.000	350.000	
1.000	-150.000	337.000	
