Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-5.962	5.045	
0.033	-5.940	8.045	
0.067	-5.902	13.044	
0.100	-3.880	16.029	
0.133	-3.843	21.029	
0.167	-3.798	27.029	
0.200	-1.761	32.014	
0.233	0.284	37.999	
0.267	2.343	45.984	
0.300	4.388	51.969	
0.333	6.440	58.954	
0.367	10.492	65.924	
0.400	14.552	73.893	
0.433	20.611	81.848	
0.467	25.671	89.811	
0.500	32.716	95.759	
0.533	38.775	103.714	
0.567	46.827	110.654	
0.600	56.879	117.579	
0.633	66.924	123.504	
0.667	77.968	129.422	
0.700	87.998	133.347	
0.733	102.027	137.242	
0.767	115.056	141.145	
0.800	128.056	141.048	
0.833	143.071	142.936	
0.867	157.055	140.832	
0.900	172.033	137.720	
0.933	186.995	132.608	
0.967	200.950	126.504	
1.000	214.890	118.400	
1.033	227.815	108.303	
1.067	240.725	96.206	
1.100	250.620	82.132	
1.133	260.508	67.058	
1.167	268.388	50.999	
1.200	273.254	32.962	
1.233	276.112	13.940	
1.267	276.962	-6.066	
1.300	275.813	-26.058	
1.333	269.672	-45.013	
1.367	261.530	-63.953	
1.400	250.396	-81.870	
1.433	236.277	-97.765	
1.467	219.158	-113.638	
1.500	200.069	-125.496	
1.533	178.003	-134.332	
1.567	154.966	-139.160	
1.600	129.952	-140.973	
1.633	103.982	-136.779	
1.667	80.035	-129.600	
1.700	56.140	-115.422	
1.733	34.268	-98.258	
1.767	17.432	-76.132	
1.800	3.627	-50.028	
1.833	-4.164	-21.969	
1.867	-4.940	8.037	
1.900	0.284	37.999	
1.933	10.507	67.923	
1.967	27.693	92.796	
2.000	51.857	114.616	
2.033	78.975	130.414	
2.067	108.042	139.198	
2.100	140.063	141.959	
2.133	170.033	137.735	
2.167	199.950	126.511	
2.200	225.830	110.318	
2.233	247.657	87.154	
2.267	264.463	61.028	
2.300	274.239	30.954	
2.333	277.007	-0.067	
2.367	273.768	-32.043	
2.400	261.537	-62.953	
2.433	243.337	-89.818	
2.467	219.158	-113.638	
2.500	188.032	-130.406	
2.533	153.958	-140.152	
2.567	116.959	-139.876	
2.600	80.043	-128.600	
2.633	47.185	-109.355	
2.667	19.402	-80.147	
2.700	1.679	-43.013	
2.733	-5.007	-0.962	
2.767	0.306	40.999	
2.800	18.596	79.863	
2.833	47.834	111.646	
2.867	84.990	132.369	
2.900	125.064	142.071	
2.933	166.040	138.765	
2.967	204.935	124.474	
3.000	236.762	101.236	
3.033	260.515	68.058	
3.067	273.239	30.962	
3.100	276.940	-9.066	
3.133	268.642	-49.006	
3.167	248.374	-84.855	
3.200	219.158	-113.638	
3.233	180.010	-133.347	
3.267	135.951	-141.018	
3.300	90.012	-132.675	
3.333	47.185	-109.355	
3.367	14.462	-72.109	
3.400	-3.171	-22.976	
3.433	-2.783	29.022	
3.467	17.582	77.871	
3.500	52.864	115.609	
3.533	99.027	137.265	
3.567	149.063	141.892	
3.600	195.965	128.541	
3.633	233.770	102.258	
3.667	261.493	65.050	
3.700	275.164	20.947	
3.733	274.813	-26.051	
3.767	258.493	-68.930	
3.800	227.210	-106.698	
3.833	185.025	-131.384	
3.867	133.951	-141.003	
3.900	80.035	-129.600	
3.933	35.268	-98.265	
3.967	3.627	-50.028	
4.000	-4.955	6.037	
4.033	7.455	60.946	
4.067	38.783	104.714	
4.100	83.990	132.377	
4.133	133.063	142.011	
