Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	70.931	124.474	
0.033	71.931	124.467	
0.067	73.938	125.452	
0.100	75.946	126.437	
0.133	77.953	127.422	
0.167	79.960	128.407	
0.200	82.975	130.384	
0.233	84.983	131.369	
0.267	88.990	132.340	
0.300	93.005	134.310	
0.333	97.012	135.280	
0.367	102.027	137.242	
0.400	107.034	138.205	
0.433	113.042	139.160	
0.467	119.049	140.116	
0.500	125.056	141.071	
0.533	131.056	141.026	
0.567	139.063	141.966	
0.600	146.063	141.914	
0.633	154.055	140.854	
0.667	162.048	139.795	
0.700	169.040	138.742	
0.733	178.025	136.675	
0.767	186.002	133.616	
0.800	193.980	130.556	
0.833	202.950	126.489	
0.867	211.912	121.422	
0.900	219.874	116.362	
0.933	228.829	110.295	
0.967	236.777	103.236	
1.000	244.717	95.176	
1.033	251.650	86.124	
1.067	258.575	76.073	
1.100	264.493	65.028	
1.133	270.410	53.984	
1.167	274.321	41.954	
1.200	277.231	29.932	
1.233	280.134	16.910	
1.267	281.029	2.903	
1.300	279.925	-11.089	
1.333	277.821	-25.073	
1.367	274.716	-39.051	
1.400	270.612	-53.020	
1.433	263.508	-66.968	
1.467	255.411	-79.908	
1.500	245.314	-92.833	
1.533	233.225	-104.743	
1.567	220.151	-114.646	
1.600	205.076	-124.533	
1.633	190.025	-131.421	
1.667	172.988	-136.294	
1.700	154.958	-140.160	
1.733	134.951	-141.010	
1.767	115.967	-138.869	
1.800	96.997	-134.727	
1.833	78.058	-126.586	
1.867	61.133	-116.459	
1.900	44.223	-104.332	
1.933	29.342	-88.221	
1.967	17.477	-70.132	
2.000	7.619	-51.058	
2.033	1.784	-29.014	
2.067	-2.044	-5.984	
2.100	-0.865	18.007	
2.133	4.298	39.969	
2.167	12.462	61.909	
2.200	24.626	83.819	
2.233	40.760	101.699	
2.267	58.879	117.564	
2.300	79.968	129.407	
2.333	103.027	137.235	
2.367	127.056	141.056	
2.400	152.055	140.869	
2.433	175.032	137.698	
2.467	197.972	129.526	
2.500	218.882	117.370	
2.533	238.762	101.221	
2.567	253.627	83.110	
2.600	266.470	62.013	
2.633	275.298	38.947	
2.667	280.112	13.910	
2.700	279.925	-11.089	
2.733	275.739	-36.058	
2.767	266.560	-59.990	
2.800	253.388	-82.893	
2.833	235.240	-102.758	
2.867	215.121	-118.608	
2.900	190.025	-131.421	
2.933	162.973	-138.220	
2.967	133.951	-141.003	
3.000	104.982	-136.787	
3.033	77.058	-126.578	
3.067	51.178	-110.384	
3.100	29.342	-88.221	
3.133	12.544	-61.095	
3.167	1.769	-31.014	
3.200	-1.985	2.015	
3.233	2.261	34.984	
3.267	14.492	65.894	
3.300	32.701	93.759	
3.333	56.864	115.579	
3.367	85.983	131.362	
3.400	117.049	140.130	
3.433	150.056	140.884	
3.467	181.017	135.653	
3.500	210.920	122.429	
3.533	235.777	103.243	
3.567	257.597	79.080	
3.600	271.381	49.976	
3.633	279.149	18.917	
3.667	280.910	-13.096	
3.700	273.671	-45.043	
3.733	258.455	-73.930	
3.767	238.255	-100.780	
3.800	211.106	-120.578	
3.833	179.002	-134.339	
3.867	142.951	-141.070	
3.900	105.982	-136.794	
3.933	71.073	-124.533	
3.967	41.253	-100.310	
4.000	16.485	-69.124	
4.033	1.769	-31.014	
4.067	-0.917	11.007	
4.100	6.380	50.954	
4.133	27.648	86.796	
4.167	56.864	115.579	
4.200	92.997	133.310	
4.233	131.056	141.026	
4.267	170.033	137.735	
4.300	206.942	125.459	
4.333	236.770	102.236	
4.367	260.552	73.058	
4.400	275.291	37.947	
4.433	281.007	-0.097	
4.467	274.731	-37.051	
4.500	260.470	-71.945	
4.533	235.240	-102.758	
4.567	203.069	-125.518	
4.600	162.973	-138.220	
4.633	120.959	-139.906	
4.667	79.057	-126.593	
4.700	41.245	-101.310	
4.733	13.529	-63.102	
4.767	-0.134	-17.999	
4.800	1.231	30.992	
4.833	18.559	74.864	
4.867	50.827	110.624	
4.900	90.997	133.325	
4.933	138.063	141.974	
4.967	181.017	135.653	
