Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	14.492	65.894	
0.034	14.492	65.894	
0.067	14.500	66.894	
0.100	14.507	67.894	
0.134	16.514	68.879	
0.167	16.522	69.879	
0.200	17.529	70.871	
0.234	18.544	72.864	
0.267	19.552	73.856	
0.300	20.567	75.849	
0.334	22.589	78.834	
0.367	24.611	81.819	
0.400	26.626	83.804	
0.434	28.641	85.789	
0.467	30.671	89.774	
0.500	32.686	91.759	
0.534	35.715	95.736	
0.567	38.745	99.714	
0.600	42.760	101.684	
0.634	45.790	105.661	
0.667	49.820	109.631	
0.700	54.834	111.594	
0.734	58.864	115.564	
0.767	62.894	119.534	
0.800	68.909	121.489	
0.834	74.938	125.444	
0.867	79.960	128.407	
0.900	86.983	131.355	
0.934	92.997	133.310	
0.967	100.012	135.257	
1.000	108.027	137.198	
1.034	115.042	139.145	
1.067	123.056	141.086	
1.100	131.056	141.026	
1.134	139.056	140.966	
1.167	149.056	140.892	
1.200	157.055	140.832	
1.234	166.040	138.765	
1.267	175.025	136.698	
1.300	184.010	134.631	
1.334	192.987	131.564	
1.367	202.957	127.489	
1.400	210.920	122.429	
1.434	219.874	116.362	
1.467	228.829	110.295	
1.500	236.777	103.236	
1.534	244.717	95.176	
1.567	252.650	86.117	
1.600	258.582	77.072	
1.634	264.500	66.028	
1.667	270.425	55.984	
1.700	274.336	43.954	
1.734	276.254	32.939	
1.767	280.156	19.910	
1.800	281.067	7.903	
1.834	280.970	-5.096	
1.867	279.873	-18.089	
1.900	277.776	-31.073	
1.934	273.679	-44.043	
1.967	269.575	-58.013	
2.000	262.485	-69.960	
2.034	254.396	-81.900	
2.067	245.307	-93.833	
2.100	235.232	-103.758	
2.134	223.158	-113.668	
2.167	210.099	-121.571	
2.200	196.047	-128.466	
2.234	181.002	-134.354	
2.267	165.973	-138.242	
2.300	148.951	-141.115	
2.334	131.952	-140.988	
2.367	114.967	-138.861	
2.400	97.997	-134.735	
2.434	80.043	-128.600	
2.467	65.110	-119.489	
2.500	50.193	-108.377	
2.534	35.290	-95.266	
2.567	23.395	-81.176	
2.600	13.522	-64.102	
2.634	5.664	-45.043	
2.667	1.806	-26.014	
2.700	-2.044	-5.984	
2.734	-1.888	15.015	
2.767	2.261	34.984	
2.800	8.410	54.939	
2.834	18.552	73.864	
2.867	30.686	91.774	
2.900	46.797	106.654	
2.934	63.894	119.527	
2.967	83.968	129.377	
3.000	104.027	137.228	
3.034	126.056	141.063	
3.067	147.063	141.906	
3.100	170.040	138.735	
3.134	190.995	132.578	
3.167	210.920	122.429	
3.200	228.829	110.295	
3.234	244.710	94.176	
3.267	258.582	77.072	
3.300	268.433	56.998	
3.334	276.276	35.939	
3.367	280.112	13.910	
3.400	280.932	-10.096	
3.434	276.768	-32.066	
3.467	269.604	-54.013	
3.500	258.441	-75.930	
3.534	243.307	-93.818	
3.567	226.173	-111.690	
3.600	205.076	-124.533	
3.634	182.010	-133.361	
3.667	156.966	-139.175	
3.700	130.952	-140.981	
3.734	103.982	-136.779	
3.767	80.050	-127.600	
3.800	56.155	-113.422	
3.834	34.290	-95.258	
3.867	18.462	-72.139	
3.900	5.657	-46.043	
3.934	-0.126	-16.999	
3.967	-0.902	13.007	
4.000	4.313	41.969	
4.034	16.522	69.879	
4.067	33.693	92.751	
4.100	53.842	112.601	
4.134	79.968	129.407	
4.167	108.034	138.198	
4.200	137.063	141.981	
4.234	167.048	139.757	
4.267	194.987	131.549	
4.300	219.882	117.362	
4.334	241.740	98.199	
4.367	258.575	76.073	
4.400	271.381	49.976	
4.434	279.171	21.917	
4.467	280.947	-8.096	
4.500	276.739	-36.066	
4.534	265.530	-63.983	
4.567	249.351	-87.863	
4.600	228.188	-109.705	
4.634	202.062	-126.511	
4.667	171.980	-137.287	
4.700	139.944	-142.048	
4.734	107.982	-136.809	
4.767	76.065	-125.571	
4.800	48.208	-106.362	
4.834	23.402	-80.176	
4.867	7.634	-49.058	
4.900	-1.104	-13.992	
4.934	0.172	22.999	
4.967	10.433	57.924	
5.000	29.663	88.781	
5.034	55.849	113.586	
5.067	85.983	131.362	
5.100	120.049	140.108	
5.134	156.055	140.839	
5.167	189.995	132.586	
5.200	218.882	117.370	
5.234	244.710	94.176	
5.267	264.508	67.028	
5.300	276.276	35.939	
5.334	281.022	1.903	
5.367	276.776	-31.066	
5.400	265.545	-61.983	
5.434	247.336	-89.848	
5.467	220.143	-115.646	
5.500	190.025	-131.421	
5.534	152.958	-140.145	
5.567	115.967	-138.869	
5.600	79.050	-127.593	
5.634	46.215	-105.347	
5.667	20.440	-75.154	
5.700	3.724	-37.028	
5.734	-0.962	5.007	
5.767	6.343	45.954	
5.800	24.619	82.819	
5.834	53.842	112.601	
5.867	88.998	133.340	
5.900	129.064	142.041	
5.934	169.033	137.742	
5.967	204.942	125.474	
6.000	236.784	104.236	
6.034	260.560	74.058	
6.067	275.298	38.947	
6.100	280.022	1.910	
6.134	276.739	-36.066	
