Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	16.492	65.879	
0.034	18.507	67.864	
0.067	20.522	69.849	
0.100	21.544	72.841	
0.134	24.566	75.819	
0.167	25.596	79.811	
0.200	28.611	81.789	
0.234	30.641	85.774	
0.267	34.671	89.744	
0.300	37.700	93.721	
0.334	41.730	97.691	
0.367	45.752	100.661	
0.400	49.782	104.631	
0.434	54.804	107.594	
0.467	59.834	111.557	
0.500	64.864	115.519	
0.534	70.894	119.474	
0.567	75.916	122.437	
0.600	82.938	125.385	
0.634	89.960	128.332	
0.667	96.982	131.280	
0.700	104.997	133.220	
0.734	113.012	135.160	
0.767	120.019	136.108	
0.800	129.026	137.041	
0.834	138.033	137.974	
0.867	147.033	137.907	
0.900	156.026	136.839	
0.934	166.018	135.765	
0.967	175.003	133.698	
1.000	183.980	130.631	
1.034	193.957	127.556	
1.067	203.927	123.482	
1.100	211.890	118.422	
1.134	221.845	112.348	
1.167	229.792	105.288	
1.200	238.740	98.221	
1.234	246.680	90.162	
1.267	253.612	81.110	
1.300	260.538	71.058	
1.334	266.463	61.013	
1.367	272.373	48.969	
1.400	276.283	36.939	
1.434	279.194	24.917	
1.467	281.104	12.903	
1.500	282.000	-1.104	
1.534	281.903	-14.104	
1.567	279.798	-28.088	
1.600	276.701	-41.066	
1.634	271.604	-54.028	
1.667	266.508	-66.990	
1.700	259.411	-79.938	
1.734	251.329	-90.878	
1.767	241.247	-101.803	
1.800	230.165	-112.720	
1.834	218.098	-121.630	
1.867	204.039	-129.526	
1.900	188.995	-135.414	
1.934	173.950	-141.302	
1.967	156.936	-143.175	
2.000	140.921	-145.055	
2.034	123.929	-143.928	
2.067	105.952	-140.794	
2.100	89.990	-135.675	
2.134	73.050	-127.548	
2.167	58.118	-118.437	
2.200	43.208	-106.325	
2.234	30.313	-92.228	
2.267	20.425	-77.154	
2.300	10.559	-59.080	
2.334	4.694	-41.036	
2.367	-0.156	-20.999	
2.400	-0.007	-0.999	
2.434	1.149	19.992	
2.467	5.298	39.962	
2.500	13.447	59.901	
2.534	24.574	76.819	
2.567	37.700	93.721	
2.600	53.804	107.601	
2.634	72.901	120.459	
