Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	160.055	140.810	
0.034	162.055	140.795	
0.067	164.048	139.780	
0.100	166.040	138.765	
0.134	168.040	138.750	
0.167	170.040	138.735	
0.200	174.040	138.705	
0.234	176.025	136.690	
0.267	180.017	135.660	
0.300	184.010	134.631	
0.334	187.995	132.601	
0.367	192.995	132.563	
0.400	196.980	130.534	
0.434	202.950	126.489	
0.467	206.935	124.459	
0.500	212.919	122.415	
0.534	217.889	118.377	
0.567	222.859	114.340	
0.600	228.829	110.295	
0.634	234.785	104.251	
0.667	240.754	100.206	
0.700	246.710	94.162	
0.734	250.657	87.132	
0.767	256.605	80.087	
0.800	260.545	72.058	
0.834	265.493	65.021	
0.867	270.425	55.984	
0.900	273.358	46.961	
0.934	276.283	36.939	
0.967	278.209	26.925	
1.000	280.127	15.910	
1.034	281.044	4.903	
1.067	280.962	-6.096	
1.100	279.873	-18.089	
1.134	277.783	-30.073	
1.167	273.694	-42.043	
1.200	269.604	-54.013	
1.234	265.522	-64.983	
1.267	257.441	-75.923	
1.300	250.351	-87.870	
1.334	241.277	-97.803	
1.367	230.203	-107.720	
1.400	218.128	-117.631	
1.434	206.069	-125.541	
1.467	191.025	-131.429	
1.500	175.995	-135.317	
1.534	160.966	-139.205	
1.567	143.951	-141.078	
1.600	127.952	-140.958	
1.634	109.982	-136.824	
1.667	93.012	-132.697	
1.700	76.058	-126.571	
1.734	61.125	-117.459	
1.767	46.215	-105.347	
1.800	32.320	-91.243	
1.834	21.432	-76.162	
1.867	11.567	-58.087	
1.900	4.701	-40.036	
1.934	-0.141	-18.999	
1.967	-1.985	2.015	
2.000	0.179	23.999	
2.034	5.328	43.961	
2.067	13.485	64.901	
2.100	25.619	82.811	
2.134	39.753	100.706	
2.167	57.857	114.571	
2.200	76.946	126.429	
2.234	98.012	135.272	
2.267	120.041	139.108	
2.300	144.056	140.929	
2.334	166.040	138.765	
2.367	187.995	132.601	
2.400	209.927	123.437	
2.434	228.829	110.295	
2.467	245.710	94.169	
2.500	259.567	75.065	
2.534	270.403	52.984	
2.567	277.231	29.932	
2.600	281.052	5.903	
2.634	279.865	-19.089	
2.667	273.686	-43.043	
2.700	263.508	-66.968	
2.734	250.351	-87.870	
2.767	232.210	-106.735	
2.800	210.099	-121.571	
2.834	185.010	-133.384	
2.867	158.966	-139.190	
2.900	129.952	-140.973	
2.934	101.990	-135.764	
2.967	74.073	-124.556	
3.000	49.193	-108.370	
3.034	28.365	-85.214	
3.067	11.559	-59.087	
3.100	1.784	-29.014	
3.134	-1.970	4.015	
3.167	3.276	36.977	
3.200	14.500	66.894	
3.234	32.701	93.759	
3.267	57.864	115.571	
3.300	85.983	131.362	
3.334	118.041	139.123	
3.367	151.055	140.877	
3.400	183.010	134.638	
3.434	211.919	122.422	
3.467	236.777	103.236	
3.500	257.597	79.080	
3.534	272.380	49.969	
3.567	279.149	18.917	
3.600	279.910	-13.089	
3.634	273.671	-45.043	
3.667	258.448	-74.930	
3.700	238.255	-100.780	
3.734	211.106	-120.578	
3.767	177.995	-135.332	
3.800	142.959	-140.070	
3.834	105.982	-136.794	
3.867	71.080	-123.533	
3.900	39.260	-99.295	
3.934	15.500	-67.117	
3.967	1.784	-29.014	
4.000	-0.910	12.007	
4.034	9.388	51.931	
4.067	28.663	88.789	
4.100	59.871	116.556	
4.134	96.005	134.287	
4.167	136.063	141.989	
4.200	176.025	136.690	
4.234	211.919	122.422	
4.267	241.732	97.199	
4.300	264.508	67.028	
4.334	277.239	30.932	
4.367	280.955	-7.096	
4.400	273.671	-45.043	
4.434	255.418	-78.908	
4.467	229.195	-108.713	
4.500	194.039	-129.451	
4.534	153.958	-140.152	
4.567	109.982	-136.824	
4.600	68.103	-120.511	
4.634	33.313	-92.251	
4.667	8.619	-51.065	
4.700	-1.022	-2.992	
4.734	6.343	45.954	
4.767	29.663	88.781	
4.800	65.901	120.512	
4.834	111.042	139.175	
4.867	156.055	140.839	
4.900	199.965	128.511	
4.934	236.777	103.236	
4.967	263.523	69.035	
5.000	277.216	27.932	
5.034	279.895	-15.089	
5.067	267.575	-57.998	
5.100	244.299	-94.825	
5.134	208.091	-122.556	
5.167	162.973	-138.220	
5.200	113.967	-138.854	
5.234	66.103	-120.496	
