Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	239.262	-99.788	
0.033	239.262	-99.788	
0.066	235.232	-103.758	
0.100	230.203	-107.720	
0.133	225.173	-111.683	
0.166	219.143	-115.638	
0.200	213.113	-119.593	
0.233	207.084	-123.548	
0.266	199.054	-127.488	
0.300	191.025	-131.429	
0.333	182.010	-133.361	
0.366	172.980	-137.294	
0.400	162.966	-139.220	
0.433	152.958	-140.145	
0.466	140.951	-141.055	
0.500	128.952	-140.966	
0.533	116.967	-138.876	
0.566	104.982	-136.787	
0.600	93.012	-132.697	
0.633	81.043	-128.608	
0.666	67.088	-122.504	
0.700	56.148	-114.422	
0.733	45.223	-104.340	
0.766	33.305	-93.251	
0.800	23.395	-81.176	
0.833	15.500	-67.117	
0.866	8.612	-52.065	
0.900	3.731	-36.028	
0.933	-0.141	-18.999	
0.966	-2.007	-0.985	
1.000	0.127	17.000	
1.033	2.261	34.984	
1.066	8.403	53.939	
1.100	16.522	69.879	
1.133	27.641	85.796	
1.166	40.760	101.699	
1.200	55.849	113.586	
1.233	72.938	125.459	
1.266	92.997	133.310	
1.300	112.042	139.168	
1.333	133.056	141.011	
1.366	155.055	140.847	
1.400	175.025	136.698	
1.433	195.972	129.541	
1.466	214.904	120.400	
1.500	232.807	107.266	
1.533	247.687	91.154	
1.566	260.552	73.058	
1.600	270.410	53.984	
1.633	277.246	31.932	
1.666	281.074	8.903	
1.700	279.895	-15.089	
1.733	275.731	-37.058	
1.766	267.567	-58.998	
1.800	255.411	-79.908	
1.833	239.269	-98.788	
1.866	221.151	-114.653	
1.900	197.054	-127.474	
1.933	172.988	-136.294	
1.966	145.951	-141.093	
2.000	118.967	-138.891	
2.033	93.012	-132.697	
2.066	65.103	-120.489	
2.100	42.238	-102.318	
2.133	23.410	-79.176	
2.166	7.619	-51.058	
2.200	-0.156	-20.999	
2.233	-1.917	11.015	
2.266	4.321	42.969	
2.300	18.544	72.864	
2.333	37.738	98.721	
2.366	62.894	119.534	
2.400	91.997	133.317	
2.433	125.056	141.071	
2.466	157.055	140.832	
2.500	188.995	132.593	
2.533	216.897	119.385	
2.566	241.740	98.199	
2.600	260.552	73.058	
2.633	274.328	42.954	
2.666	281.097	11.903	
2.700	279.850	-21.088	
2.733	270.612	-53.020	
2.766	254.396	-81.900	
2.800	231.210	-106.728	
2.833	202.062	-126.511	
2.866	167.980	-137.257	
2.900	130.952	-140.981	
2.933	93.012	-132.697	
2.966	59.140	-115.444	
3.000	29.350	-87.221	
3.033	8.619	-51.065	
3.066	-1.074	-9.992	
3.100	0.209	27.999	
3.133	15.500	66.886	
3.166	40.760	101.699	
3.200	75.946	126.437	
3.233	116.042	139.138	
3.266	157.048	139.832	
3.300	196.980	130.534	
3.333	229.814	108.288	
3.366	256.597	79.087	
3.400	274.343	44.954	
3.433	281.044	4.903	
3.466	276.753	-34.066	
3.500	261.478	-70.953	
3.533	236.232	-103.765	
3.566	200.062	-126.496	
3.600	152.958	-140.145	
3.633	106.982	-136.802	
3.666	65.110	-119.489	
3.700	28.357	-86.214	
3.733	5.694	-41.043	
3.766	-0.925	10.007	
3.800	9.403	53.931	
3.833	36.723	96.729	
3.866	76.946	126.429	
3.900	124.049	140.078	
3.933	172.033	137.720	
