Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-516.000	77.000	
0.034	-513.000	82.000	
0.067	-507.000	88.000	
0.100	-498.000	99.000	
0.134	-487.000	111.000	
0.167	-477.000	129.000	
0.200	-462.000	141.000	
0.234	-443.000	159.000	
0.267	-418.000	183.000	
0.300	-464.000	141.000	
0.334	-367.000	235.000	
0.367	-340.000	264.000	
0.400	-318.000	295.000	
0.434	-275.000	332.000	
0.467	-221.000	348.000	
0.500	-194.000	338.000	
0.534	-171.000	309.000	
0.567	-166.000	280.000	
0.600	-172.000	257.000	
0.634	-186.000	243.000	
0.667	-200.000	230.000	
0.700	-216.000	226.000	
0.734	-231.000	226.000	
0.767	-248.000	236.000	
0.800	-261.000	247.000	
0.834	-278.000	260.000	
0.867	-292.000	286.000	
0.900	-290.000	316.000	
0.934	-278.000	340.000	
0.967	-244.000	354.000	
1.000	-209.000	358.000	
1.034	-173.000	358.000	
1.067	-138.000	358.000	
